City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Byron Bay,AU,78.01,clear sky,-28.65,153.62,Backpackers Inn on the Beach
517,Sri Aman,MY,75.2,overcast clouds,1.24,111.46,Seri Simanggang Hotel
519,Jaguaribe,BR,83.28,light rain,-5.89,-38.62,Hotel Pinheiro
520,Bubaque,GW,84.07,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
521,Auki,SB,87.44,overcast clouds,-8.77,160.7,Auki Motel
523,Kalianget,ID,76.86,overcast clouds,-7.05,113.93,Pesanggrahan Garam
532,Palauig,PH,79.29,overcast clouds,15.44,119.9,Myhousebythesea
537,Neuquen,AR,82.4,clear sky,-38.95,-68.06,Hotel del Comahue
542,Santiago,CL,78.8,clear sky,-33.46,-70.65,Hotel Panamericano
543,Tautira,PF,86.0,scattered clouds,-17.73,-149.15,Pension Oaoa
545,Benguela,AO,77.59,overcast clouds,-12.58,13.41,Hotel Praia Morena
546,Sumbe,AO,76.14,scattered clouds,-11.21,13.84,Hotel Ritz Sumbe
554,Kupang,ID,83.08,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
556,Gorontalo,ID,80.01,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
561,Hambantota,LK,78.71,broken clouds,6.12,81.12,Bungalow 63
562,Twentynine Palms,US,82.4,broken clouds,34.14,-116.05,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
565,The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
566,Tessalit,ML,76.71,scattered clouds,20.2,1.01,
567,Teknaf,BD,75.42,light rain,20.86,92.31,Magnum Engineering & Construction
576,Pucallpa,PE,77.0,broken clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
578,Banda Aceh,ID,80.33,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
583,Kihei,US,89.6,few clouds,20.79,-156.47,Maui Sunset
592,Sao Felix Do Xingu,BR,79.38,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
593,Rapar,IN,78.19,scattered clouds,23.57,70.63,Dharamshi Bapa’s Home
594,Corn Island,NI,82.53,moderate rain,12.17,-83.04,Big Fish Guest House
595,Aguadilla,PR,82.0,clear sky,18.43,-67.15,WSSM Surf House
596,Salaga,GH,80.13,scattered clouds,8.55,-0.52,Maridon Lodge
597,Sao Jose Da Coroa Grande,BR,77.88,broken clouds,-8.9,-35.15,Crôa Mares Hotel
601,Galle,LK,78.28,broken clouds,6.04,80.22,Amangalla
602,Pochutla,MX,84.2,scattered clouds,15.74,-96.47,Hotel Posada San Jose
604,Coolum Beach,AU,82.0,clear sky,-26.53,153.1,Palmer Coolum Resort
611,San Buenaventura,MX,82.99,clear sky,27.08,-101.53,Hotel Gran Plaza
612,Cassilandia,BR,75.29,broken clouds,-19.11,-51.73,Hotel Rafa Cassilândia
615,Diffa,NE,78.49,clear sky,13.32,12.61,ProDAF/Diffa
621,Cuencame,MX,78.17,few clouds,24.87,-103.7,Casa De Mary
624,West Bay,KY,84.2,scattered clouds,19.37,-81.42,Calypso Cove
626,Matara,LK,76.51,broken clouds,5.95,80.54,Amaloh Boutique Resort
627,Bairiki,KI,86.0,overcast clouds,1.33,172.98,Tarawa Boutique Hotel
630,Tanete,ID,78.21,overcast clouds,-3.94,119.78,Wisma Tri Multi
631,Micheweni,TZ,77.07,clear sky,-4.97,39.83,
632,Port Moresby,PG,83.16,scattered clouds,-9.44,147.18,Lamana Hotel
636,Bhimunipatnam,IN,75.2,mist,17.88,83.43,Bheemili Court
639,Mormugao,IN,78.8,mist,15.4,73.8,Coconut Creek Resort
640,Nombre De Dios,MX,80.6,clear sky,23.85,-104.23,Uraján de Luna Hotel Boutique & SPA
641,San Andres,CO,82.4,broken clouds,12.58,-81.7,Hotel Arena Blanca
643,Bambanglipuro,ID,75.97,scattered clouds,-7.95,110.28,Puri Brata
644,Matamoros,MX,86.0,few clouds,25.53,-103.25,Recreativo Sabdy Briseidy
650,Gourbeyre,GP,80.6,overcast clouds,15.99,-61.69,Hôtel Saint-Georges
654,Morondava,MG,76.64,broken clouds,-20.28,44.28,La Case Bambou
655,Yaan,NG,75.74,overcast clouds,7.38,8.57,
658,Manicore,BR,84.2,clear sky,-5.81,-61.3,Pousada da wanda
664,Harper,LR,77.74,overcast clouds,4.38,-7.72,Screensaver
668,Tual,ID,83.62,overcast clouds,-5.67,132.75,Grand Vilia Hotel
672,Punta Cardon,VE,85.14,light rain,11.66,-70.22,Posada Bambuda
677,Kismayo,SO,79.25,light rain,-0.36,42.55,Agan-Hotel
678,Malpe,IN,77.0,mist,13.35,74.72,Hotel Sri Krishna Residency
682,Novo Aripuana,BR,82.11,light rain,-5.12,-60.38,Hotel Ypê
685,Sandakan,MY,75.2,few clouds,5.84,118.12,Hotel Sandakan
687,Nabire,ID,81.27,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
689,Naze,JP,75.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
690,Carutapera,BR,78.78,scattered clouds,-1.2,-46.02,Lidera
694,Loiza,PR,82.4,haze,18.43,-65.88,Malibu Beachfront
696,Belmopan,BZ,84.2,broken clouds,17.25,-88.77,Villa San Juan
698,Kudahuvadhoo,MV,82.38,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
703,Progreso,MX,79.0,broken clouds,21.28,-89.67,Playa Linda Hotel
